,0,1,group,y_true
199,2.893461,-22.417746,23,0
200,7.81493,-18.04708,23,0
201,14.909297,-33.14257,19,0
202,4.4797554,-20.836512,23,0
203,4.6746597,-16.896515,23,0
204,10.378597,-33.55766,23,0
205,5.632349,-9.485582,23,0
206,11.024533,-16.512928,-1,0
207,6.6284757,-15.3963995,23,0
208,9.827846,1.7768551,-1,0
209,9.499864,-12.52912,23,0
210,-0.56408715,-26.49307,23,0
211,7.2652016,-9.40815,23,0
212,4.001253,-19.110159,23,0
213,-0.50004727,-28.158821,23,0
214,12.7685795,0.6429467,22,0
215,4.297962,-14.212851,23,0
216,5.479869,-14.22671,23,0
217,14.861578,-33.44824,-1,0
218,12.744908,-29.010225,23,0
219,0.15250309,-28.868465,-1,0
220,9.914716,1.8612435,21,0
221,0.019950818,-28.13172,23,0
222,10.962801,-26.983019,23,0
223,5.655456,-15.781599,23,0
224,6.0445786,-14.857709,23,0
225,4.259445,-20.346699,23,0
226,3.4462776,-30.13011,23,0
227,9.590025,-21.126085,23,0
228,-0.44311526,-26.143694,23,0
229,10.942511,-15.984505,23,0
230,9.703695,-12.090241,-1,0
231,4.984014,-8.480445,-1,0
232,3.5287228,-25.933664,23,0
233,5.377677,-23.092623,23,0
234,3.45438,-25.988464,23,0
235,13.130572,-28.98084,-1,0
236,10.451259,-33.545925,23,0
237,11.294515,-31.29781,23,0
238,9.88219,-17.621634,23,0
239,-0.4463617,-26.862133,23,0
240,6.124186,-11.651969,23,0
241,10.02634,-29.413685,23,0
242,5.3136773,-14.974796,23,0
243,6.363012,-28.603848,23,0
244,8.4874325,-25.825268,23,0
245,4.2625914,-25.848324,23,0
246,-0.5219027,-26.152912,23,0
247,8.163681,-27.063692,23,0
248,8.177406,-11.634588,23,0
249,10.148592,-29.752642,23,0
250,0.44394502,-26.320799,23,0
251,9.042739,-10.60645,23,0
252,3.6018736,-26.592188,23,0
253,8.741831,-11.325661,23,0
254,4.181421,-14.359673,23,0
255,7.7081437,-18.085365,23,0
256,8.740056,-21.043072,23,0
257,1.6099533,-27.296642,23,0
258,2.2977242,-23.177996,23,0
259,5.693048,-29.216118,23,0
